rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/10008678-wild_child,Wild Child,"Sixteen-year-old Poppy (Emma Roberts) has everything her unlimited credit cards can buy, and a spoiled attitude to match. After a final thoughtless prank, her exasperated father (Aidan Quinn) ships her off to boarding school in England. There, Poppy meets her match in a stern headmistress (Natasha Richardson) and a class full of girls who will not tolerate her selfishness.","More mild than wild. This tween comedy mess falls flat on its face due to poor characters, poor direction and poor jokes.",PG-13,Comedy,"Nicholas Moore, Nick Moore",Lucy Dahl,"Emma Roberts, Shirley Henderson, Natasha Richardson, Alex Pettyfer, Aidan Quinn, Nick Frost, Daisy Donovan, Jason Watkins, Kimberley Nixon, Georgia King, Juno Temple, Linzey Cocker, Ruby Thomas, Sophie Wu, Johnny Pacar, Eleanor Turner-Moss, Shelby Young, Lexi Ainsworth",8/14/2008,2/12/2014,98,Universal Pictures,Rotten,41,27,Upright,61,17496,9,11,16
m/10009083-land_of_the_lost,Land of the Lost,"A space-time vortex sucks scientist Rick Marshall (Will Ferrell), his assistant Holly (Anna Friel) and a survivalist Will (Danny R. McBride) into a world populated by dinosaurs and painfully slow creatures called Sleestaks. With few resources at their disposal, Rick, Holly and Will must rely on their only ally, a primate named Chaka (Jorma Taccone), to try to survive long enough to figure out a way back home.","Only loosely based on the original TV series, Land of the Lost is decidedly less kid-friendly and feels more like a series of inconsistent sketches than a cohesive adventure comedy.",PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy","Brad Silberling, Adam McKay","Chris Henchy, Dennis McNicholas","Will Ferrell, Anna Friel, Danny McBride (IV), Jorma Taccone, John Boylan, Matt Lauer, Bobb'e J. Thompson, Sierra McCormick, Shannon Lemke, Steven Wash Jr., Brian Huskey, Kevin Buitrago, Noah Crawford, Jon Kent Ethridge II, Logan Manus, Ben Best, Scott Dorel, Sean Michael Guess, Dennis McNicholas, Chris Henchy, Kurt Carley, Travis Samuel Clark, Daniel George, Todd Christian Hunter, Marti Matulis, Tim Soergel, Douglas Tait, Patrick Wedge, Ana Alexander, Morgan Atias, Jesse Golden, Eve Mauro, Pollyanna McIntosh, Ania Spiering, Leonard Nimoy, Paul Adelstein, Adam Behr, Daamen J. Krall",6/5/2009,12/10/2015,102,Universal Pictures,Rotten,26,190,Spilled,32,542684,50,49,141
m/10009526-public_enemies,Public Enemies,"Depression-era bank robber John Dillinger's (Johnny Depp) charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover (Billy Crudup) and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis (Christian Bale), the task of bringing him in dead or alive.","Michael Mann's latest is a competent and technically impressive gangster flick with charismatic lead performances, but some may find the film lacks truly compelling drama.",R,"Action & Adventure, Drama",Michael Mann,"Michael Mann, Ronan Bennett, Ann Biderman, Mark St. Germain","Johnny Depp, Christian Bale, Marion Cotillard, Billy Crudup, Channing Tatum, Stephen Graham, Giovanni Ribisi, Jason Clarke, Stephen Lang, Stephen Dorff, David Wenham, Rory Cochrane, Emilie De Ravin, Shawn Hatosy, John Michael Bolger, Matt Craven, Peter Gerety, Don Frye, Branka Katic, John Ortiz, David Warshofsky, Domenick Lombardozzi, Bill Camp, Carey Mulligan, James Russo, Christian Stolte, John Judd, Michael Vieau, Wesley Walker, John Scherp, John Kishline, Elena Kenney, Lili Taylor, Madison Dirks, Len Bajenski, Andrew Krukowski, Casey Siemaszko, Peter DeFaria, Michael Sassone, Brian Connelly, Ed Bruce, Geoffrey Cantor, Jeff Shannon, Chandler Williams, Diana Krall, Richard Short, Randy Ryan, Kurt Naeberg, John Hoogenakker, Adam Mucci, Kurt Naebig, Rebecca Spence, Danni Simon, Shanyn Leigh, Spencer Garrett, Randy Steinmeyer, Alan Wilder, Kris Wolff, Michael Bentt, John Lister, Jim Carrane, Rick Uecker, Mark Vallarta, Dan Maldanado, Sean Rosales, Stephen Spencer, Gareth Saxe, Guy Van Swearingen, Jeff Still, Lance Baker, Steve Key, Leelee Sobieski, Martie Sanders, Gerald Goff, Keith Kupferer, Robyn Suzanne Scott, Patrick Zielinski, Adam Clark, Jonathan Macchi, Duane Sharp, Joseph Mazurk",7/1/2009,12/10/2015,140,Universal Studios,Fresh,68,278,Spilled,59,633778,58,188,90
m/10012068-repo_men,Repo Men,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy (Jude Law) is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims. With his former partner (Forest Whitaker) in hot pursuit, Remy runs for his life.","Repo Men has an intriguing premise, as well as a likable pair of leads, but they're wasted on a rote screenplay, indifferent direction, and mind-numbing gore.",R,"Action & Adventure, Science Fiction & Fantasy",Miguel Sapochnik,"Eric Garcia, Garrett Lerner","Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber, Carice van Houten, Chandler Canterbury, Joe Pingue, Liza Lapira, Tiffany Espensen, Yvette Nicole Brown, RZA, Wayne Ward, Tanya Clarke, Max Turnbull, Howard Hoover, Robert Dodds, Raff Law, Tremayne Corion, Marty Adams, Daniel Kash, Christian Lloyd, Domenic Cuzzocrea, Dominic Cuzzocrea, Carlos Diaz, Imali Perera, Tannis Burnett, Michael Cram, Heather Hodgson, Bruce Gooch, Laytrel McMullen, Ellie Ellwand, Alie Rutty, Kenny Robinson, Matt Baram, Jim Annan, Alice Poon, Simon Northwood, Wayne Downer, John MacDonald, Neil Whitely, Marium Carvell, Daniel Levesque, Michael Grajewski, Zoé Mugford, Philip Nessel, Roland Rothchild, Denis Akiyama, Katie Bergin, Jee-Yun Lee, Tino Monte, John Picard, Kevin Rushton, Alicia Turner, Angelina Assereto, Ciara Jones, Riley Jones, Angelina Asseretto, Rosemary Clooney, Method Man, William Bell, Nina Simone, Beck, Harry Garfield, Moloko, Dave Stewart",3/19/2010,2/12/2014,111,Universal Studios,Rotten,22,152,Spilled,41,100490,35,33,119
m/1002448-birds,The Birds,Melanie Daniels (Tippi Hedren) meets Mitch Brenner (Rod Taylor) in a San Francisco pet store and decides to follow him home. She brings with her the gift of two love birds and they strike up a romance. One day birds start attacking children at Mitch's sisters party. A huge assault starts on the town by attacking birds.,"Proving once again that build-up is the key to suspense, Alfred Hitchcock successfully turned birds into some of the most terrifying villains in horror history.",PG-13,"Classics, Horror, Mystery & Suspense",Alfred Hitchcock,"Evan Hunter, Alfred Hitchcock","Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy, Veronica Cartwright, Ethel Griffies, Ruth McDevitt, Lonny Chapman, Charles McGraw, Karl Swenson, Elizabeth Wilson, Malcolm Atterbury, Joe Mantell, Doodles Weaver, John McGovern, Alfred Hitchcock, Richard Deacon, Doreen Lang, Dal McKennon, Bill Quinn, Darlene Conley, Morgan Brittany",3/28/1963,10/1/2014,119,Universal Pictures,Certified-Fresh,95,56,Upright,83,176580,10,53,3
m/1002907-border,The Border,"Charlie Smith (Jack Nicholson) barely scrapes by on his low salary, but his hectoring wife, Marcy (Valerie Perrine), is anxious to move up in the world, so he takes a new position as a border patrol agent alongside the hair-trigger Cat (Harvey Keitel). Soon, Charlie is a reluctant party to Cat's smuggling and other petty criminal actions, but when the corrupt agent sets his avaricious sights on a poor illegal immigrant (Elpidia Carrillo) and her newborn baby, Charlie's moral code returns.",,R,"Action & Adventure, Drama, Mystery & Suspense",Tony Richardson,"Deric Washburn, Walon Green, David Freeman, Dave Freeman","Jack Nicholson, Harvey Keitel, Valerie Perrine, Warren Oates, Elpidia Carrillo, Shannon Wilcox, Manuel Viescas, Jeff Morris, Mike Gomez, Dirk Blocker, Lonny Chapman, Stacey Pickren, Floyd Levine, James Jeter, Alan Fudge, William Russ, Gary Grubbs, Gary Sexton, Billy Silva, William McLaughlin, Juan Ramírez, Lupe Ontiveros, David Beecroft, James W. Gavin",1/29/1982,8/10/2016,107,Universal Pictures,Fresh,80,10,Spilled,53,3285,1,8,2
m/1003075-brewsters_millions,Brewster's Millions,"After losing his position as a minor-league pitcher, Montgomery Brewster (Richard Pryor) learns his great-uncle has left him $300 million. To inherit it, Brewster must spend $30 million in 30 days under a complicated set of rules that forbid him from donating too much to charity or retaining any new assets when the period is up. Unable to share details about the will's odd conditions with anyone, Brewster sets out to spend his money under the stern eye of paralegal Angela Drake (Lonette McKee).","With Richard Pryor's trademark ribald humor tamped down, Brewster's Millions feels like a missed opportunity to update a classic story.",PG,Comedy,Walter Hill,"Herschel Weingrod, Timothy Harris","Richard Pryor, John Candy, Lonette McKee, Stephen Collins, Jerry Orbach, Pat Hingle, Tovah Feldshuh, Hume Cronyn, Joe Grifasi, Peter Jason, David White, Jerome Dempsey, Byron Keith Minns, David Wohl, Ji-Tu Cumbuka, Carmine Caridi, Duan Ji-Shun, Yakov Smirnoff, Judith Holstra, Rick Moranis, Gloria Charles, Milt [Lewis] Kogan, Yana Nirvana, Grand L. Bush, Conrad Janis, Rosetta Le Noire, Joseph Leon, Robert Ellenstein, Reni Santoni, Alan Autry, Joe Medalis, Malachy McCourt, Roger Til, Allan Miller, Mike Hagerty, Kelly Yaegermann, Regina Hooks, Allan Graf, Jeff Mylett, Richard Hochberg, Archie Hahn III, R.D. Call, Frank Slaten, Lin Shaye, Wesley Thompson, Strawn Bovee, Matt Landers, Kip Waldo, Shaka Cumbuka, Brad Sanders, Bill McConnell, Margot Rose, Joel Weiss, Candee Jennings, Gary Alexander, Joey Banks, Joe Banks, Steve Benson, Steven Benson, Mike Paciorek, Ken Medlock, Robbie T. Robinson, Ken Knighten, Hank Robinson, Art Reichle, Bennie E. Dobbins",5/22/1985,5/8/2015,97,MCA Universal Home Video,Rotten,35,23,Spilled,55,38516,0,8,15
m/1003094-brief_encounter,Brief Encounter,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson (Celia Johnson) is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey (Trevor Howard). Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.","Brief Encounter adds a small but valuable gem to the Lean filmography, depicting a doomed couple's illicit connection with affecting sensitivity and a pair of powerful performance.",NR,"Classics, Drama, Romance",David Lean,"David Lean, Anthony Havelock-Allan, Ronald Neame, Noel Coward, Coward Lean","Trevor Howard, Celia Johnson, Joyce Carey, Cyril Raymond, Stanley Holloway, Everley Gregg, Margaret Barton, Valentine Dyall, Marjorie Mars, Nuna Davey, Dennis Harkin, Irene Handl, Edward Hodge, Sydney Bromley, Wilfred Babbage, Avis Scott, Henrietta Vincent, Richard Thomas, George V. Sheldon, Wallace Bosco, Jack May",11/26/1945,11/18/2016,86,Universal Pictures,Certified-Fresh,91,44,Upright,91,11170,15,40,4
m/1003492-cape_fear,Cape Fear,"After an eight-year prison sentence for rape, Max Cady (Robert Mitchum) targets Sam Bowden (Gregory Peck), one of the lawyers who sent him away. When Max finds Sam and his family, he begins a terrifying stalking spree, intending to ruin Sam's life. Desperate to protect his wife and daughter, Sam makes every effort to send Max back to jail. But when his attempts fail, Sam realizes that he must take matters into his own hands if he wants to rid his life of Max for good.","An exemplary thriller powered by Robert Mitchum's chilling performance and Bernard Herrmann's sinister score, Cape Fear seethes with perfectly modulated tension.",NR,"Classics, Drama, Mystery & Suspense",J. Lee Thompson,James R. Webb,"Robert Mitchum, Gregory Peck, Polly Bergen, Martin Balsam, Lori Martin, Telly Savalas, Jack Kruschen, Edward Platt, Barrie Chase, John R. McKee, Paul Comi, Page Slattery, Ward Ramsey, Will Wright, Joan Staley, Mack Williams, Thomas Newman, Bunny Rhea, Carol Sydes, Alan Reynolds, Herb Armstrong, Al Silvani, Paul Levitt, Alan Wells, Allan Ray, Norma Yost, Josephine Smith, Marion Landers, Joseph Jenkins, Jack Richardson, Aldo Silvani, Bob Noble, Jack Elkins",4/18/1962,8/21/2015,105,Universal International Pictur,Fresh,100,22,Upright,86,17735,1,22,0
m/1003747-cat_and_the_canary,The Cat and the Canary,"The relatives of Cyrus West gather at his estate on the 20th anniversary of his death to hear the reading of his will. Annabelle West (Laura La Plante) is named the heir to Cyrus' fortune, under the condition that she is declared sane by a doctor (Lucien Littlefield). Later in the evening, the family is informed that a dangerously insane man known at ""the Cat"" is on the loose in the area. When Cyrus' lawyer (Tully Marshall) is found dead, Annabelle fears she is the next target.",,NR,"Classics, Horror, Mystery & Suspense",Paul Leni,"Robert F. Hill, Alfred A. Cohn","Laura Laplante, Creighton Hale, Tully Marshall, Forrest Stanley, Gertrude Astor, Arthur Edmund Carewe, Flora Finch, Martha Mattox, Lucien Littlefield, Joe Murphy, Billy Engle",9/9/1927,2/8/2017,75,Universal Pictures,Fresh,94,16,Upright,74,1155,8,24,1
